topology,local_baseline_type,collective,size_bytes,payload_label,description,local_latency_ms,local_algbw_gbs,multi_native_175g_ms,multi_native_algbw_gbs,multi_100g_ms,multi_100g_algbw_gbs,multi_50g_ms,multi_50g_algbw_gbs,multi_20g_ms,multi_20g_algbw_gbs,multi_10g_ms,multi_10g_algbw_gbs,multi_native_vs_local,multi_10g_vs_local
TP=4,Socket-Local Single-NUMA,AllGather,524288,512 KiB,512 KiB,0.043,12.1,0.269,1.95,0.329,1.6,0.32,1.64,0.293,1.79,0.324,1.62,6.21x,7.48x
TP=4,Socket-Local Single-NUMA,AllGather,1048576,1 MiB,1 MiB Tensor,0.054,19.5,0.432,2.43,0.416,2.52,0.519,2.02,0.461,2.28,0.668,1.57,8.03x,12.43x
TP=4,Socket-Local Single-NUMA,AllGather,2097152,2 MiB,2 MiB,0.082,25.59,0.62,3.38,0.635,3.3,0.607,3.45,0.768,2.73,1.448,1.45,7.57x,17.67x
TP=4,Socket-Local Single-NUMA,AllGather,4194304,4 MiB,4 MiB,0.139,30.28,0.918,4.57,1.066,3.94,1.057,3.97,1.586,2.64,2.747,1.53,6.63x,19.83x
TP=4,Socket-Local Single-NUMA,AllGather,8388608,8 MiB,8 MiB,0.278,30.21,1.388,6.05,1.349,6.22,1.346,6.23,3.05,2.75,5.392,1.56,5.00x,19.41x
TP=4,Socket-Local Single-NUMA,AllGather,16777216,16 MiB,16 MiB Activation,0.542,30.98,2.422,6.93,2.159,7.77,2.198,7.63,5.835,2.88,10.863,1.54,4.47x,20.06x
TP=4,Socket-Local Single-NUMA,AllGather,33554432,32 MiB,32 MiB,1.066,31.48,4.887,6.87,3.573,9.39,6.796,4.94,10.748,3.12,21.144,1.59,4.59x,19.84x
TP=4,Socket-Local Single-NUMA,AllGather,67108864,64 MiB,64 MiB Chunk,2.12,31.66,8.232,8.15,7.265,9.24,8.767,7.65,21.258,3.16,42.246,1.59,3.88x,19.93x
TP=4,Socket-Local Single-NUMA,AllGather,134217728,128 MiB,8K Prefill Chunk (128 MiB),4.232,31.71,12.112,11.08,14.26,9.41,17.894,7.5,42.351,3.17,84.456,1.59,2.86x,19.96x
TP=4,Socket-Local Single-NUMA,AllGather,268435456,256 MiB,Large Prefill (256 MiB),8.44,31.81,23.725,11.31,25.603,10.48,35.225,7.62,84.451,3.18,168.966,1.59,2.81x,20.02x
TP=4,Socket-Local Single-NUMA,ReduceScatter,8192,8 KiB,Min Size Floor,0.012,0.66,0.102,0.08,0.1,0.08,0.094,0.09,0.124,0.07,0.112,0.07,8.28x,9.08x
TP=4,Socket-Local Single-NUMA,ReduceScatter,16384,16 KiB,Batch-1 Token Decode,0.011,1.46,0.17,0.1,0.1,0.16,0.091,0.18,0.124,0.13,0.101,0.16,15.13x,8.97x
TP=4,Socket-Local Single-NUMA,ReduceScatter,32768,32 KiB,32 KiB,0.012,2.71,0.204,0.16,0.124,0.26,0.125,0.26,0.207,0.16,0.154,0.21,16.88x,12.76x
TP=4,Socket-Local Single-NUMA,ReduceScatter,65536,64 KiB,64 KiB,0.013,5.15,0.135,0.49,2.442,0.03,0.146,0.45,0.205,0.32,0.174,0.38,10.57x,13.66x
TP=4,Socket-Local Single-NUMA,ReduceScatter,131072,128 KiB,Small Activation,0.018,7.35,0.143,0.92,0.154,0.85,0.162,0.81,0.195,0.67,0.204,0.64,8.01x,11.47x
TP=4,Socket-Local Single-NUMA,ReduceScatter,262144,256 KiB,256 KiB,0.028,9.45,0.243,1.08,0.249,1.05,0.255,1.03,0.265,0.99,0.343,0.76,8.76x,12.38x
TP=4,Socket-Local Single-NUMA,ReduceScatter,524288,512 KiB,512 KiB,0.048,10.92,0.211,2.48,0.231,2.27,0.259,2.02,0.299,1.76,0.333,1.58,4.40x,6.93x
TP=4,Socket-Local Single-NUMA,ReduceScatter,1048576,1 MiB,1 MiB Tensor,0.054,19.38,0.38,2.76,0.369,2.84,0.422,2.49,0.41,2.56,0.699,1.5,7.02x,12.91x
TP=4,Socket-Local Single-NUMA,ReduceScatter,2097152,2 MiB,2 MiB,0.088,23.7,0.504,4.16,0.582,3.6,0.572,3.67,0.749,2.8,1.367,1.53,5.69x,15.45x
TP=4,Socket-Local Single-NUMA,ReduceScatter,4194304,4 MiB,4 MiB,0.143,29.29,0.831,5.05,0.927,4.52,1.108,3.79,1.768,2.37,2.761,1.52,5.80x,19.29x
TP=4,Socket-Local Single-NUMA,ReduceScatter,8388608,8 MiB,8 MiB,0.286,29.29,1.308,6.41,1.442,5.82,1.789,4.69,2.93,2.86,5.386,1.56,4.57x,18.81x
TP=4,Socket-Local Single-NUMA,ReduceScatter,16777216,16 MiB,16 MiB Activation,0.546,30.75,4.241,3.96,2.117,7.92,2.62,6.4,5.782,2.9,11.005,1.52,7.77x,20.17x
TP=4,Socket-Local Single-NUMA,ReduceScatter,33554432,32 MiB,32 MiB,1.073,31.28,3.618,9.27,4.784,7.01,4.502,7.45,10.8,3.11,21.194,1.58,3.37x,19.76x
TP=4,Socket-Local Single-NUMA,ReduceScatter,67108864,64 MiB,64 MiB Chunk,2.136,31.42,6.263,10.72,7.443,9.02,9.013,7.45,21.174,3.17,42.491,1.58,2.93x,19.89x
TP=4,Socket-Local Single-NUMA,ReduceScatter,134217728,128 MiB,8K Prefill Chunk (128 MiB),4.262,31.49,12.313,10.9,13.274,10.11,19.072,7.04,42.476,3.16,84.508,1.59,2.89x,19.83x
TP=4,Socket-Local Single-NUMA,ReduceScatter,268435456,256 MiB,Large Prefill (256 MiB),8.48,31.66,23.818,11.27,25.877,10.37,35.172,7.63,84.464,3.18,169.582,1.58,2.81x,20.00x
